Module,Symbol,Description,Min ,Max,Nominal Value,Units,Source,,Type,Comment
MarsPower,Results.Cum_Surface_Power ,"if no power input, use DRA5 number.",,,26,kW,DRA5,,parameter,
MarsPower,Brayton_Eff,Reactor,,,0.24,,,,parameter,
MarsPower,FuelDen,Reactor,0,1,0.96,%,,,parameter,
MarsPower,UN_Energy,Reactor,,,65000,kW-days/kg,,,parameter,
MarsPower,Rod_Number,Reactor,,,8,,,,parameter,
MarsPower,Rod_Radius ,Reactor,,,0.0059,m,,,parameter,
MarsPower,Neutron_Reflector_Thickness,Reactor,,,0.1,m,,,parameter,
MarsPower,B4C_Den ,Material Densities,,,2520,kg/m3,,,parameter,
MarsPower,BeO_Den,Material Densities,,,3000,kg/m3,,,parameter,
MarsPower,LiH_Den,Material Densities,,,780,kg/m3,,,parameter,
MarsPower,Tung_Den,Material Densities,,,19250,kg/m3,,,parameter,
MarsPower,Sigma_a,EFFECTIVE NEUTRON MULTIPLICATION FACTOR COEFFICIENTS,,,0.02277,,,,parameter,
MarsPower,RSigma_f ,EFFECTIVE NEUTRON MULTIPLICATION FACTOR COEFFICIENTS,,,0.04391,,,,parameter,
MarsPower,Sigma_tr,EFFECTIVE NEUTRON MULTIPLICATION FACTOR COEFFICIENTS,,,0.384,,,,parameter,
MarsPower,Duration_Yrs,NUCLEAR Rx,,,10,years,,,parameter,
MarsPower,Wire_Eff ,NUCLEAR Rx,0,1,0.98,%,,,parameter,
MarsPower,Li_Shield_Thck,RADIATION SHIELDING,,,0.1,m,,,parameter,
MarsPower,Rad_Mass100 ,RADIATOR (100 kWe Design),,,720,kg,,,parameter,
MarsPower,Rad_Vol100 ,RADIATOR (100 kWe Design),,,1.728,m^3,,,parameter,
MarsPower,Rad_Area100 ,RADIATOR (100 kWe Design),,,22.43,m^2,,,parameter,
MarsPower,PowerPlant_Distance ,"distance from power plant to habitat, DRA5, no sheild",,,3000,m,,,parameter,
MarsPower,RFCMassT ,Solar w/ Regenerative Fuel Cell Storage - Mass Specific Power ,,,[4.845010567 7.833596698 9.841331374 11.31986659 12.46520732 13.40169797 14.18348732 14.86331412 15.46299724 16.00481623 16.49705038 16.94919278 17.36792385 17.75014533 18.09149292 18.37767261 18.56919109 18.61464779 18.3097226 16.33125137 15.05009617 13.75409675 12.11506707 9.832893282 6.283439143],W/kg,,,parameter,
MarsPower,RFCVolT,Solar w/ Regenerative Fuel Cell Storage - Volume Specific Power,,,[291.7468514 527.2660964 716.7809428 875.6959312 1011.727129 1132.201472 1239.729571 1338.690399 1430.458445 1517.144652 1599.182895 1677.41138 1752.437133 1823.276943 1888.668668 1945.467704 1985.668067 1998.58092 1945.284234 1599.118296 1390.217495 1196.965702 979.633325 721.094657 400.0783237],W/m^3,,,parameter,
MarsPower,BattMassT,Solar w/ Lithium-Ion Battery Storage - Mass Specific Power,,,[4.364712409 6.67559655 8.104392063 9.103719142 9.850820857 10.44611402 10.93315193 11.35002896 11.71295531 12.03727493 12.3290483 12.59478129 12.83897158 13.06013452 13.25602269 13.41847127 13.52437953 13.5440157 13.35682488 12.17109275 11.40516687 10.61699711 9.586809323 8.07482646 5.498705418],W/kg,,,parameter,
MarsPower,BattVolT,Solar w/ Lithium-Ion Battery Storage,,,[292.6896298 530.2758055 722.2615266 883.7864188 1022.433241 1145.511762 1255.589822 1357.08213 1451.354303 1540.542658 1625.070869 1705.783305 1783.291738 1856.567668 1924.290231 1983.18504 2024.931397 2038.410783 1983.265893 1625.565605 1410.458251 1212.11723 989.8947949 726.7352519 401.8533821],W/m^3,,,parameter,
MarsPower,Results.PowerPlant.Mass,,,,,kg,,,output,
MarsPower,Results.PowerPlant.Volume,,,,,m3,,,output,
MarsPower,MarsLatT ,SOLAR POWER VS MARS LATITUDE,,,[-60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60],deg,,,input,
MarsPower,Results.Surface_Habitat.Power,,,,,kW,,,input,
MarsPower,Results.ECLSS.Power,,,,,kW,,,input,
MarsPower,Results.Mars_ISRU.Power,,,,,kW,,,input,
MarsPower,Cur_Arch.SurfacePower,,,,"[Nuclear, Solar]",type,,,input,
